,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
Mex3b,43.37103500846655,0.19520245795138771,0.3022774717541789,0.6457724315960014,0.5184267443615648,0.968477561784026
Gm16638,10.628147594149294,0.43664088531719036,0.516030634666501,0.846153030428865,0.39746738042289886,
Stard5,20.886617343963135,-0.23716164789317482,0.39837412318915083,-0.5953239281572734,0.5516269642795921,
Tlnrd1,45.29338585221608,0.02837878646915202,0.28657253668369226,0.09902828372027649,0.9211158133126155,0.9935055500003961
Mesd,183.05659660045725,0.15560380024031267,0.24200354765289478,0.6429814841536741,0.5202361144167533,0.968477561784026
Abhd17c,20.79371371461632,0.03517393626505622,0.3840893971098761,0.09157747266580767,0.9270337504331487,
Fah,13.83481125854197,0.3020956288299764,0.4875455921999463,0.619625392297844,0.5355044452693849,
Zfand6,135.28127649887622,-0.2783429450892523,0.24662982256833962,-1.1285859195399013,0.2590725532384789,0.9474502956129918
Nox4,68.96479876729586,-0.6126061352377993,0.31524972948479774,-1.9432407959206226,0.05198707106474591,0.7164211047902538
Ctsc,82.69334881226516,0.18463654088480305,0.27776460239922285,0.6647230759066644,0.5062276315286895,0.9667239560234276
Rab38,9.262280162241085,-0.7844404272827057,0.6219510637612923,-1.261257473439707,0.20721609764279225,
Tmem135,60.5782678237722,0.010656426499608296,0.26829203021694903,0.039719504492888545,0.9683167516095907,0.9944852821739768
Fzd4,351.76945460752256,0.12470977037395765,0.2382394581120735,0.5234639608493872,0.600651424186244,0.9775910871653066
Prss23,1198.3212592260936,-0.3696136469907218,0.20993775084815905,-1.760586866809157,0.07830835308624927,0.7950344529518749
Me3,9.027828055574131,-0.19269186645049885,0.5405305670344956,-0.35648653046147083,0.7214762375601136,
Hikeshi,115.81236316795234,0.10749831453022966,0.2662150459479733,0.40380255048108055,0.6863579208279159,0.9802796251612313
Eed,32.705321200001585,-0.3144150443498429,0.33340797801066424,-0.9430339556535332,0.34566353502607583,
2310010J17Rik,42.50819814707275,0.2391947779298331,0.37492063344389015,0.6379877675247514,0.5234816429221916,0.9693864149432662
Picalm,349.00301666517123,-0.30792962772947546,0.19621870681248038,-1.5693184035900993,0.11657376617329644,0.8802792957545433
Sytl2,39.35923401933845,-1.2127796489622293,0.3953837216378921,-3.0673484581971246,0.0021596693550217836,0.19624438086422774
Crebzf,33.691546440699334,0.005468996870193522,0.3236263415950262,0.01689910914927073,0.9865171034622138,
Tmem126a,114.44926284566448,0.35090005182760803,0.27133860722847536,1.293218298021776,0.19593556879659402,0.9268942150902505
Tmem126b,28.949228871747554,-0.07417365817824623,0.34797456894710727,-0.21315827303897242,0.831203513582724,
Dlg2,35.24562413117913,0.2010700164802248,0.3327591825264059,0.604250842767559,0.5456768829137958,
Ccdc90b,82.6822135264276,-0.16257838318965406,0.2729819694089494,-0.5955645478771466,0.5514661661882485,0.9726193330447768
Ankrd42,7.713356403867452,-0.13587117158211348,0.6320083272437488,-0.21498319836173865,0.8297804180633963,
Pcf11,344.2142357574444,0.004830571866053768,0.19809244459402361,0.0243854422411399,0.9805451602826203,0.9959033769320554
4632427E13Rik,73.63292600852628,-0.18358817454724957,0.24895386317090892,-0.7374385446720896,0.4608557027627723,0.9589335095447377
Rab30,56.72266343960767,0.6410094031907912,0.2944437387584095,2.177018285033862,0.029479203187227677,0.5893277228472733
Ddias,8.565355614416562,0.42423559825385676,0.6013242176840037,0.7055022661282419,0.4804977221916572,
Prcp,63.70258737878199,0.41066689538611256,0.25940708952051633,1.583098195755491,0.11339908479874887,0.8776878441918459
Gab2,110.49368772941223,-0.4402917675752843,0.27693881444036456,-1.5898521428461443,0.11186813720316477,0.8776878441918459
Usp35,11.202707271919875,-0.36516891763536735,0.5246038805229355,-0.6960850485348292,0.48637556934543247,
Kctd21,7.579551765229125,0.33492630082972447,0.6146590655365688,0.5448976832991951,0.5858238897159807,
Alg8,12.966818708839954,0.38952810853902553,0.47329879451531304,0.8230067624362454,0.41050414784519285,
Ndufc2,327.6331908121348,0.10892536300714341,0.24007271951167192,0.45371820350394976,0.6500316631994256,0.9802796251612313
Ints4,16.500142281947827,-0.27802370554667555,0.4186541664867899,-0.6640891881711353,0.5066332296211739,
Aamdc,91.3867488203243,0.12868825881737742,0.28870345805910097,0.44574547074193144,0.6557811148603863,0.9802796251612313
Rsf1,129.29013872929144,-0.11287408888494245,0.24815623187966884,-0.45485091399870703,0.6492164985781087,0.9802796251612313
Clns1a,62.523903375541906,0.43075561822867703,0.28577054227935006,1.5073478700530276,0.13172151338274365,0.8895622339413337
Pak1,13.446488469750884,-0.5053257152805639,0.456821045157276,-1.1061787118555113,0.2686491750979427,
Myo7a,9.0264895908689,-0.13101254826256387,0.6043588027394792,-0.2167794159176654,0.8283802542407734,
Capn5,24.885349238091827,-0.06804412943049251,0.3789220347872147,-0.17957290203168835,0.8574878798747019,
Acer3,35.6882307759819,0.10375959211805762,0.32999439569287903,0.31442834627599303,0.7531957298330532,
