gene,ob_lfc,ob_padj,rescue_lfc,rescue_padj,ceil_lfc,ceil_padj,ex_lfc,ex_padj,is_rescued,is_normalized,class
Slco2b1,-2.66362712960417,0.0410721319732615,3.3293320502664416,0.3325952590760652,0.5496709502091783,0.9996496209943752,0.0290595139201654,0.9997708173996,True,True,Fully rescued
Lmo1,-1.6109287113747834,1.177294067061842e-05,1.3004973879121813,0.028652134435151,-0.6668215868618046,0.4965654004388207,0.3368678498602022,0.9997708173996,True,True,Fully rescued
Rras2,1.1033277589272592,1.7075380954384882e-06,-1.6015582072336847,0.0010122746533339,0.12439792513209585,0.9996496209943752,-0.6177367080494979,0.8496287620553592,True,True,Fully rescued
Efnb2,0.938600435669172,0.0055480920487708,-0.8432036661225503,0.3724486081702725,0.2912393738330141,0.9996496209943752,-0.2093007039545615,0.9997708173996,True,True,Fully rescued
Sfrp1,-2.8115456310412084,1.2883536111966718e-20,2.5592875592018807,1.0047005691714377e-07,-0.7666688144018915,0.36938496141733024,0.4809351111007038,0.6236829158288714,True,True,Fully rescued
Il34,1.501475838576535,0.0001350885051912,-1.0729541670281613,0.0494529975631323,1.1349019710537909,0.01599437510711413,-0.7053556328082556,0.7239435215201173,True,False,Partially rescued
Cdh13,-1.4533939917677,0.0004098031146288,1.2170324294975028,0.0158047016665336,-0.4169564223755179,0.9877120931258044,0.1832048228209748,0.9997708173996,True,True,Fully rescued
Tagln,8.179845729837318,0.0182099342393318,-1.954173591915673,0.8836953103471215,-0.27760271378197354,,6.2756443200683165,0.9997708173996,True,True,Fully rescued
Col12a1,1.3966800291896606,4.5809650107949776e-10,-1.2921946097926182,6.830857071746044e-07,1.1437186066711293,0.09996954052164568,-1.036400334103304,0.3368873861454633,True,True,Fully rescued
Tpbg,0.7928674930964009,0.0263395475658284,-0.5032047465744274,0.6326025955197114,0.44162750258539585,0.9012794980005978,-0.149374340899668,0.9997708173996,True,True,Fully rescued
Nt5e,-2.8634591031621626,1.9598161460928723e-06,2.862531449045179,1.4569217967455612e-08,0.05551807457317294,0.9996496209943752,-0.068420907632297,0.9997708173996,True,True,Fully rescued
Plod2,0.7747198012298154,0.0012181939074321,-0.3064506527604285,0.8030388862504956,0.6937942647994162,0.1852005599763923,-0.224640163856591,0.9997708173996,True,True,Fully rescued
Spsb4,1.6019759788811982,0.0082926153688858,-0.5999656544671949,0.7608609766787443,1.2594064003253918,0.2667335352100925,-0.2717240218658195,0.9997708173996,True,True,Fully rescued
Col6a6,-1.3435131523624837,0.0129673832538061,1.631256788555112,0.0691187043278324,-0.23875780671798927,0.9996496209943752,0.5217501953063481,0.7793650319917175,True,True,Fully rescued
Sgk1,0.8474628425760992,0.0410721319732615,0.1050561366731083,0.977863848611965,0.8259734012059894,0.42979034135531385,0.1253144975081616,0.9997708173996,False,True,Exercise-resistant
9330159F19Rik,-1.879364445050825,0.0410721319732615,1.7624249921029624,0.0480123767029389,-0.2790461018053911,0.9996496209943752,0.1548942781608444,0.9997708173996,True,True,Fully rescued
Rspo3,-1.79940528878479,0.0011653021631125,1.808647262750421,0.0136120468309967,-0.5946622776903673,0.9829907647907912,0.6111789731013018,0.9997708173996,True,True,Fully rescued
Sowahc,-1.2653217998849515,0.0129673832538061,1.489588778739909,0.0120099201817385,0.2034940903197452,0.9996496209943752,0.0299426547784477,0.9997708173996,True,True,Fully rescued
Col6a2,0.6045434612573098,0.0410721319732615,-0.562631080308864,0.1307708262666588,-0.2534202014387503,0.9846038819828757,0.2965995110030937,0.9914842139686016,True,True,Fully rescued
Avpr1a,-2.8851046198077355,0.0076217621248761,3.215801031341316,0.0016342305526164,0.24293111642743934,0.9996496209943752,0.0697380579957657,0.9997708173996,True,True,Fully rescued
Ltc4s,2.8858103466225526,4.245947728757168e-07,-2.341030080650098,0.0038900547799094,1.1242720688793357,0.9002368490990204,-0.6335480844479927,0.9997708173996,True,True,Fully rescued
Aspa,-2.4092010927597114,0.0434131456707039,2.267994749614545,0.1562014569702304,0.2584097268524307,0.9996496209943752,-0.4111265846228832,0.9997708173996,True,True,Fully rescued
Ccl8,1.9588175646676549,0.0011653021631125,-1.0145181202422069,0.5682022020033678,-0.08473817548421517,0.9996496209943752,1.0354466649152918,0.9420841294779412,True,True,Fully rescued
Igfbp4,-0.7331021874030313,0.049798228270745,0.8769980657339169,0.1334779309123498,-0.3337023601437783,0.9723313843458181,0.4761714605032059,0.2970165636773588,True,True,Fully rescued
Slc9a3r1,-4.345304525431051,0.017220324716719,-2.9268392871785536,,-5.050612833863491,0.15252066866775654,-1.8860374012208132,0.7731007299511418,False,True,Exercise-resistant
Cygb,-0.8207786078001845,0.0434131456707039,1.38702985125877,0.0002082087078514,0.4126151367631981,0.9800805035253729,0.1480072419224805,0.9997708173996,True,True,Fully rescued
Scin,-4.051201363410548,0.0133281602489316,3.642262162900914,0.2417686731699986,-0.7234939430086084,0.9996496209943752,0.1943498110980853,0.9997708173996,True,True,Fully rescued
Erh,1.5139434137176986,0.0006661900880625,-0.9755267755157504,0.1906978018772922,0.0985890257349045,0.9996496209943752,0.4380649557199246,0.933480021915592,True,True,Fully rescued
Ttc9,4.145469768065929,0.049798228270745,-1.9346295613932187,0.4976361491250449,0.6880858959647193,0.9996496209943752,1.5860971488521618,,True,True,Fully rescued
Serpina3n,2.991476238135383,4.5809650107949776e-10,-1.2078093783025834,0.838619439857761,1.2208044584006639,0.9996496209943752,0.5286162079152261,0.9997708173996,True,True,Fully rescued
Rian,0.7263180341274238,0.0009830423066507,-0.6678200783935718,0.1408523293675943,0.21800732224283934,0.9996496209943752,-0.1596431377028369,0.9997708173996,True,True,Fully rescued
Akr1c14,2.4958802817616825,0.0012268148600914,-1.9951703297145924,0.0904069510570709,1.0629685376864664,0.997798806318627,-0.7154635674135044,0.9997708173996,True,True,Fully rescued
