gene,baseMean,log2FC,lfcSE,stat,pval,padj,n_a,n_b,contrast,cell_state,tissue,contrast_label,method,is_sig
Angptl4,2057.301458664197,-1.009858653801442,0.22577321360537403,-4.47288957655783,7.71696327082063e-06,0.0011843701248502327,3,3,TH_vs_SH,CP,vWAT,rescue_TH_vs_SH,deseq2_pseudobulk,True
Ly6g6e,13.910803418280103,2.649761623432164,0.7882954934968245,3.361381163905941,0.0007755372079538847,0.04309580036612708,3,3,TH_vs_SH,CP,vWAT,rescue_TH_vs_SH,deseq2_pseudobulk,True
Pla2g7,9.651880839259523,5.21707219745411,1.5346667349189729,3.3994821668755075,0.0006751358231917324,0.03938394132392676,3,3,TH_vs_SH,CP,vWAT,rescue_TH_vs_SH,deseq2_pseudobulk,True
Rftn1,356.2153517802091,-1.033437679266013,0.22501310656667073,-4.592788815880858,4.373616000670574e-06,0.0007563113182406299,3,3,TH_vs_SH,CP,vWAT,rescue_TH_vs_SH,deseq2_pseudobulk,True
Lbh,234.99261170800105,-1.0407537548973593,0.2915327828731945,-3.5699372970690813,0.00035706668658027144,0.02461659745129871,3,3,TH_vs_SH,CP,vWAT,rescue_TH_vs_SH,deseq2_pseudobulk,True
Cdc42ep3,110.77155912507787,-1.3573569499997995,0.31289034338013316,-4.3381234950761485,1.4370440484237403e-05,0.0019501444076083009,3,3,TH_vs_SH,CP,vWAT,rescue_TH_vs_SH,deseq2_pseudobulk,True
Taf4b,225.39116943720546,1.9632481086620035,0.481119036302884,4.080587049201809,4.49221017248435e-05,0.004866686852409096,3,3,TH_vs_SH,CP,vWAT,rescue_TH_vs_SH,deseq2_pseudobulk,True
Ecscr,29.04005254470991,-3.0009440011417707,0.5604864481489109,-5.354177627403536,8.594640004273999e-08,3.165774255288583e-05,3,3,TH_vs_SH,CP,vWAT,rescue_TH_vs_SH,deseq2_pseudobulk,True
Pcdh12,64.2773828356206,-1.914745441003775,0.4117537024101839,-4.650220337536466,3.3158059120959285e-06,0.0006195270988223292,3,3,TH_vs_SH,CP,vWAT,rescue_TH_vs_SH,deseq2_pseudobulk,True
Ppic,2904.0158024254147,-0.6269213026020197,0.1883788026394321,-3.327982202976326,0.0008747745460996444,0.047384846421498386,3,3,TH_vs_SH,CP,vWAT,rescue_TH_vs_SH,deseq2_pseudobulk,True
Fbn2,67.30284922571275,-2.703760400057029,0.5016324346688992,-5.389923404457762,7.048772025595098e-08,2.6727284986462357e-05,3,3,TH_vs_SH,CP,vWAT,rescue_TH_vs_SH,deseq2_pseudobulk,True
Iigp1,1674.4365606712379,0.9099366847042055,0.239901018431786,3.7929671605914375,0.00014885784886051976,0.013420107604963783,3,3,TH_vs_SH,CP,vWAT,rescue_TH_vs_SH,deseq2_pseudobulk,True
Arsi,205.6894136780572,-1.176458580062624,0.3238243760509637,-3.633014272765779,0.00028012951663565163,0.020996684467830352,3,3,TH_vs_SH,CP,vWAT,rescue_TH_vs_SH,deseq2_pseudobulk,True
Ccbe1,584.4878677077025,1.0144268003718082,0.2223357996383971,4.562588670028189,5.05267433407795e-06,0.000824545284999151,3,3,TH_vs_SH,CP,vWAT,rescue_TH_vs_SH,deseq2_pseudobulk,True
Psat1,406.0463698110497,1.2271836370871982,0.25207151007226075,4.8683948326227116,1.1250837015902188e-06,0.0002704647289571496,3,3,TH_vs_SH,CP,vWAT,rescue_TH_vs_SH,deseq2_pseudobulk,True
Prune2,7.731061215120164,-3.974651917264315,1.1442092819339056,-3.4737106052369082,0.000513314344830312,0.03295504254525029,3,3,TH_vs_SH,CP,vWAT,rescue_TH_vs_SH,deseq2_pseudobulk,True
Gda,483.27530326967644,-0.6947635099800643,0.19639995229324897,-3.5374932726190176,0.0004039444761926869,0.027265194696733608,3,3,TH_vs_SH,CP,vWAT,rescue_TH_vs_SH,deseq2_pseudobulk,True
Vldlr,1301.3562972918744,0.8592604464115727,0.23431051005014106,3.667186957288839,0.00024523349572228205,0.01904548329428711,3,3,TH_vs_SH,CP,vWAT,rescue_TH_vs_SH,deseq2_pseudobulk,True
Il33,133.0024092430037,-2.4312949817604963,0.3986065781276086,-6.099485345126817,1.0641051493635324e-09,7.220233466102452e-07,3,3,TH_vs_SH,CP,vWAT,rescue_TH_vs_SH,deseq2_pseudobulk,True
Pten,2947.489490569899,0.613022328155695,0.17650594226341554,3.4730973943122385,0.000514488618861156,0.03295504254525029,3,3,TH_vs_SH,CP,vWAT,rescue_TH_vs_SH,deseq2_pseudobulk,True
Plce1,964.3401589119994,0.6995467665873526,0.19593070388377906,3.5703784691260294,0.0003564658125468224,0.02461659745129871,3,3,TH_vs_SH,CP,vWAT,rescue_TH_vs_SH,deseq2_pseudobulk,True
