gene,baseMean,log2FC,lfcSE,stat,pval,padj,n_a,n_b,contrast,cell_state,tissue,contrast_label,method,is_sig
Rpl38,8193.755052109334,1.0118266045936553,0.23000793253819918,4.399094385258271,1.0870354475863409e-05,0.00117225902667711,3,3,SH_vs_SC,CP,vWAT,obesity_SH_vs_SC,deseq2_pseudobulk,True
Sept9,195.97298285848106,1.234893403590633,0.3571851486580957,3.4572921305098716,0.0005456330097585557,0.022104640125743917,3,3,SH_vs_SC,CP,vWAT,obesity_SH_vs_SC,deseq2_pseudobulk,True
A930037H05Rik,31.910154711583886,-2.063454069247774,0.6462362173192218,-3.1930337761129968,0.0014078647796234793,0.04665203470610849,3,3,SH_vs_SC,CP,vWAT,obesity_SH_vs_SC,deseq2_pseudobulk,True
Sdc1,121.73142835952454,1.0644282206529225,0.3267329939094147,3.2577922661463163,0.001122825683458079,0.03898787147132606,3,3,SH_vs_SC,CP,vWAT,obesity_SH_vs_SC,deseq2_pseudobulk,True
Sox11,121.47562838982452,1.2191682297960982,0.3216356511557079,3.790525787223393,0.00015032872365792715,0.008659962371405375,3,3,SH_vs_SC,CP,vWAT,obesity_SH_vs_SC,deseq2_pseudobulk,True
Alkal2,1661.7961378845018,-0.9087225555688003,0.24978400019835437,-3.638033480315715,0.0002747277185090923,0.013269096488758882,3,3,SH_vs_SC,CP,vWAT,obesity_SH_vs_SC,deseq2_pseudobulk,True
Rps29,12303.256559954418,0.9019988137397754,0.21464038363322335,4.202372351705761,2.641321958719918e-05,0.0022678356690155727,3,3,SH_vs_SC,CP,vWAT,obesity_SH_vs_SC,deseq2_pseudobulk,True
Actn1,174.55979088546778,2.818882052487335,0.3523709557605177,7.9997570923613095,1.246648971692082e-15,1.6804828138409265e-12,3,3,SH_vs_SC,CP,vWAT,obesity_SH_vs_SC,deseq2_pseudobulk,True
Erh,305.6647858092304,1.4874881015704537,0.33021509067941834,4.504603646398908,6.6496936903033604e-06,0.0007697412049625803,3,3,SH_vs_SC,CP,vWAT,obesity_SH_vs_SC,deseq2_pseudobulk,True
Ltbp2,35.72518073249228,4.533704619625408,0.653292351313725,6.939779121106265,3.927134700197054e-12,2.837624809547805e-09,3,3,SH_vs_SC,CP,vWAT,obesity_SH_vs_SC,deseq2_pseudobulk,True
Lgmn,242.32332951064896,1.6386409316785449,0.274589735734027,5.967597176559304,2.4077289358280833e-09,9.545937074988989e-07,3,3,SH_vs_SC,CP,vWAT,obesity_SH_vs_SC,deseq2_pseudobulk,True
Serpina3g,162.27371194291405,1.4444562622897383,0.3404659434375356,4.242586637904794,2.2095819660801344e-05,0.001959550322550014,3,3,SH_vs_SC,CP,vWAT,obesity_SH_vs_SC,deseq2_pseudobulk,True
Serpina3n,1173.952242245322,0.8800358351858089,0.20283127716493474,4.338758043071419,1.432901720600671e-05,0.001414077920741587,3,3,SH_vs_SC,CP,vWAT,obesity_SH_vs_SC,deseq2_pseudobulk,True
Hhipl1,257.28359657928286,1.0287867883000315,0.23889447052671503,4.306448726216895,1.6589636062218246e-05,0.0015317006446486437,3,3,SH_vs_SC,CP,vWAT,obesity_SH_vs_SC,deseq2_pseudobulk,True
Mirg,125.32916084339519,1.2315573741496266,0.30618497560478475,4.02226585976997,5.7640942836420425e-05,0.004199999510459175,3,3,SH_vs_SC,CP,vWAT,obesity_SH_vs_SC,deseq2_pseudobulk,True
Dio3os,159.94279089962478,-1.1415390724404524,0.2572346756490662,-4.43773402462195,9.091085719434233e-06,0.0010127920289088716,3,3,SH_vs_SC,CP,vWAT,obesity_SH_vs_SC,deseq2_pseudobulk,True
Ahnak2,674.7372827333426,1.016390162129923,0.214754691563946,4.732796078763567,2.214479398312007e-06,0.0003128052290281928,3,3,SH_vs_SC,CP,vWAT,obesity_SH_vs_SC,deseq2_pseudobulk,True
Crip1,4774.098507013871,1.1159983653277725,0.22702528213807902,4.915744866904345,8.84455221577447e-07,0.00015415178301809708,3,3,SH_vs_SC,CP,vWAT,obesity_SH_vs_SC,deseq2_pseudobulk,True
Gm47405,95.90639178865246,-1.1673641115464457,0.33661846095850984,-3.4679147074180525,0.0005245137373215933,0.021490714830076224,3,3,SH_vs_SC,CP,vWAT,obesity_SH_vs_SC,deseq2_pseudobulk,True
Amph,228.36468680091204,-0.8488949923293932,0.23274218334810837,-3.647361987060661,0.0002649465400240227,0.012926138386641832,3,3,SH_vs_SC,CP,vWAT,obesity_SH_vs_SC,deseq2_pseudobulk,True
Sfrp4,213.4811363209749,2.5308017239322487,0.3636037720422415,6.9603285733741895,3.394800251459839e-12,2.691876905275214e-09,3,3,SH_vs_SC,CP,vWAT,obesity_SH_vs_SC,deseq2_pseudobulk,True
Cmah,65.1923708658616,1.8629074620674444,0.4233745957616655,4.400139925060949,1.081810981009512e-05,0.00117225902667711,3,3,SH_vs_SC,CP,vWAT,obesity_SH_vs_SC,deseq2_pseudobulk,True
Sox4,918.8095550468328,1.2642970438491654,0.22350820964996265,5.656602260065469,1.5439900184538515e-08,4.625107877501759e-06,3,3,SH_vs_SC,CP,vWAT,obesity_SH_vs_SC,deseq2_pseudobulk,True
Foxc1,232.90437332912452,0.998331734916948,0.2407784859781599,4.146266352914533,3.3794068674265177e-05,0.00271157170076842,3,3,SH_vs_SC,CP,vWAT,obesity_SH_vs_SC,deseq2_pseudobulk,True
Tubb2b,110.83953628192585,1.9738970640423072,0.3798674723938606,5.196278195664245,2.0331792750239895e-07,4.492992889725144e-05,3,3,SH_vs_SC,CP,vWAT,obesity_SH_vs_SC,deseq2_pseudobulk,True
Nedd9,65.65662538979917,1.509014045328419,0.35154246194529787,4.292551280940938,1.7663173837026168e-05,0.0015979837806920317,3,3,SH_vs_SC,CP,vWAT,obesity_SH_vs_SC,deseq2_pseudobulk,True
Susd3,10.82174762844838,-6.309452976704916,1.8091347292032018,-3.4875528476996247,0.00048746257619877015,0.02050677721567381,3,3,SH_vs_SC,CP,vWAT,obesity_SH_vs_SC,deseq2_pseudobulk,True
Aspn,1517.0858686249242,1.1061517895631172,0.2042611889218412,5.415379178990174,6.115895860879218e-08,1.5555146453707898e-05,3,3,SH_vs_SC,CP,vWAT,obesity_SH_vs_SC,deseq2_pseudobulk,True
Ogn,10691.158873642073,-0.6546156216237858,0.15704097654992458,-4.168438301933753,3.0669375233295005e-05,0.0024938320660728417,3,3,SH_vs_SC,CP,vWAT,obesity_SH_vs_SC,deseq2_pseudobulk,True
Dbn1,806.4204513436025,0.7019878717968896,0.1921276778577637,3.6537571245543625,0.00025843073784273676,0.012728973825588824,3,3,SH_vs_SC,CP,vWAT,obesity_SH_vs_SC,deseq2_pseudobulk,True
Ell2,410.45638413819324,0.996271379736791,0.2453075072323042,4.061316308568291,4.8796804676107456e-05,0.0036341487681432515,3,3,SH_vs_SC,CP,vWAT,obesity_SH_vs_SC,deseq2_pseudobulk,True
Lhfpl2,307.06716319872567,0.9814837614938925,0.2531936936401716,3.8764147218008387,0.00010600693982776172,0.006740441268293528,3,3,SH_vs_SC,CP,vWAT,obesity_SH_vs_SC,deseq2_pseudobulk,True
F2rl1,6.3218902961295695,4.653348230657254,1.4269592641996869,3.261023876015895,0.0011101069236757158,0.038767464588468005,3,3,SH_vs_SC,CP,vWAT,obesity_SH_vs_SC,deseq2_pseudobulk,True
F2r,387.54886918154426,1.0019898250869197,0.2976012173237129,3.3668875218242627,0.0007602168821307111,0.028866826960907005,3,3,SH_vs_SC,CP,vWAT,obesity_SH_vs_SC,deseq2_pseudobulk,True
Enc1,1014.077892903415,1.071999163516467,0.23149524833312968,4.630760982073476,3.6432424747355717e-06,0.0004589804538265001,3,3,SH_vs_SC,CP,vWAT,obesity_SH_vs_SC,deseq2_pseudobulk,True
Serf1,346.37970768142094,0.8383364185367911,0.2300553258153152,3.6440643813210145,0.0002683662435410709,0.013012866773142576,3,3,SH_vs_SC,CP,vWAT,obesity_SH_vs_SC,deseq2_pseudobulk,True
Fgf10,296.7945322965279,-0.8208151979656481,0.22650256164736524,-3.6238671739331125,0.00029023069470798633,0.01373486595715496,3,3,SH_vs_SC,CP,vWAT,obesity_SH_vs_SC,deseq2_pseudobulk,True
Cadps,169.84613880066257,-1.582089424141607,0.30843787771786707,-5.129361658974871,2.9072632985205393e-07,6.029216809854903e-05,3,3,SH_vs_SC,CP,vWAT,obesity_SH_vs_SC,deseq2_pseudobulk,True
Wnt5a,835.1155616651707,-0.9407111040199465,0.19157952340168485,-4.910290449191468,9.094159194467605e-07,0.00015517628600180167,3,3,SH_vs_SC,CP,vWAT,obesity_SH_vs_SC,deseq2_pseudobulk,True
Nt5dc2,47.85369953968598,1.498755245079627,0.4535100703322978,3.3047893379334505,0.0009504781225256934,0.03426751854163046,3,3,SH_vs_SC,CP,vWAT,obesity_SH_vs_SC,deseq2_pseudobulk,True
Gdf10,3324.431183970215,-0.8714428233535372,0.17716302745007215,-4.918875207182413,8.704293810119883e-07,0.00015415178301809708,3,3,SH_vs_SC,CP,vWAT,obesity_SH_vs_SC,deseq2_pseudobulk,True
Prxl2a,55.00018052155033,-1.4407752761238166,0.3888848850591966,-3.704888853945814,0.00021148344511673337,0.010757723925183267,3,3,SH_vs_SC,CP,vWAT,obesity_SH_vs_SC,deseq2_pseudobulk,True
AC160336.1,77.0350300493684,1.8530068643453457,0.4413331648190602,4.198657640209409,2.685019051912119e-05,0.002288759154539332,3,3,SH_vs_SC,CP,vWAT,obesity_SH_vs_SC,deseq2_pseudobulk,True
Nefl,27.9074985025061,3.1849162103026414,0.5914365825028497,5.385051084977983,7.242407580408001e-08,1.7601949955102034e-05,3,3,SH_vs_SC,CP,vWAT,obesity_SH_vs_SC,deseq2_pseudobulk,True
Slc39a14,271.0479096625845,0.9314530047989523,0.20977427389540024,4.440263276818219,8.984888984387859e-06,0.0010093025292462361,3,3,SH_vs_SC,CP,vWAT,obesity_SH_vs_SC,deseq2_pseudobulk,True
